agent-action,agent-action-update,map-update,reward,sum
108,44,63,3,218
107,49,79,4,239
110,50,67,4,231
111,47,67,4,229
112,48,67,4,231
110,52,67,4,233
107,50,70,4,231
110,50,67,4,231
112,53,68,4,237
110,48,95,4,257
105,53,69,5,232
111,50,68,4,233
113,50,68,5,236
109,51,70,5,235
114,50,71,5,240
109,53,69,5,236
111,52,68,5,236
110,50,69,5,234
110,57,70,5,242
107,53,68,5,233
114,54,72,5,245
113,48,68,5,234
111,52,74,5,242
113,54,79,5,251
111,51,70,5,237
117,50,142,5,314
108,51,69,5,233
110,54,69,5,238
109,52,69,5,235
112,53,74,5,244
111,51,74,5,241
113,52,81,5,251
114,50,74,5,243
111,52,74,5,242
112,51,75,5,243
112,53,75,5,245
111,53,74,5,243
117,55,78,5,255
117,53,72,5,247
114,50,74,5,243
111,52,74,5,242
111,53,74,5,243
112,49,73,5,239
114,53,68,5,240
112,50,68,5,235
116,51,68,5,240
109,53,70,5,237
110,53,68,5,236
110,53,70,5,238
116,52,71,5,244
113,49,72,5,239
110,51,72,5,238
110,50,73,5,238
112,51,69,5,237
114,52,68,5,239
113,50,69,5,237
111,52,73,5,241
114,50,227,5,396
108,51,68,5,232
107,53,69,5,234
117,55,69,5,246
114,51,78,5,248
112,50,78,5,245
113,51,77,5,246
116,51,77,5,249
111,52,77,5,245
119,53,76,5,253
113,52,78,7,250
113,50,75,5,243
116,49,77,5,247
113,52,76,5,246
111,53,73,5,242
112,54,68,5,239
113,53,67,5,238
115,64,75,5,259
115,54,77,5,251
112,51,80,5,248
115,56,77,5,253
113,50,77,5,245
117,52,70,5,244
111,52,70,5,238
109,49,71,5,234
113,50,71,5,239
113,55,71,5,244
113,50,70,5,238
109,53,70,5,237
109,51,72,5,237
110,54,72,5,241
113,53,72,5,243
114,49,71,5,239
111,51,73,5,240
109,54,72,5,240
111,53,79,5,248
115,50,78,5,248
116,55,80,5,256
116,51,80,5,252
114,49,79,5,247
117,53,79,5,254
116,55,70,5,246
110,54,72,5,241
110,52,74,5,241
114,51,73,5,243
112,52,71,5,240
111,52,71,5,239
112,52,70,5,239
111,49,77,5,242
111,54,81,5,251
116,51,79,5,251
114,52,80,5,251
115,49,69,5,238
111,51,68,5,235
112,57,68,5,242
116,52,68,5,241
