agent-action,agent-action-update,map-update,reward,sum
114,49,74,10,247
111,51,73,5,240
112,49,75,5,241
112,53,72,5,242
113,60,74,5,252
111,53,77,5,246
125,55,70,5,255
110,50,69,5,234
112,53,71,5,241
109,50,73,5,237
111,50,71,6,238
111,53,69,5,238
118,53,71,5,247
111,53,72,5,241
113,51,71,5,240
109,66,73,6,254
111,52,71,5,239
109,53,72,5,239
109,55,74,5,243
110,53,77,5,245
113,51,71,5,240
110,56,74,5,245
110,53,71,5,239
107,51,71,8,237
112,65,71,5,253
109,52,71,5,237
111,52,70,5,238
111,56,71,5,243
109,53,68,5,235
111,50,77,5,243
115,52,76,5,248
112,54,76,5,247
111,52,76,5,244
110,50,76,5,241
112,50,77,5,244
117,51,76,5,249
116,50,76,5,247
112,53,76,5,246
112,52,75,5,244
113,50,72,5,240
111,50,74,5,240
114,50,87,7,258
112,53,87,5,257
113,52,68,5,238
114,51,68,5,238
110,53,68,5,236
111,53,73,5,242
110,51,74,6,241
109,55,70,5,239
110,49,67,5,231
112,57,72,5,246
110,51,67,5,233
111,52,80,5,248
113,52,84,5,254
115,52,80,9,256
113,52,78,5,248
114,49,78,5,246
117,62,82,19,280
124,71,81,15,291
129,70,73,7,279
107,54,68,15,244
110,55,67,5,237
113,52,69,5,239
113,59,68,5,245
110,64,71,9,254
120,51,69,5,245
114,53,68,5,240
108,54,68,5,235
111,50,68,5,234
112,50,72,5,239
120,55,80,5,260
114,49,80,5,248
110,52,88,5,255
113,53,78,5,249
114,50,80,5,249
112,51,81,20,264
116,54,80,5,255
113,75,85,6,279
118,52,76,5,251
112,54,77,5,248
111,57,76,5,249
114,64,71,5,254
114,51,68,5,238
113,50,69,5,237
112,54,70,5,241
110,53,68,5,236
110,52,69,5,236
120,57,75,5,257
109,53,68,5,235
109,54,70,5,238
114,50,69,5,238
111,51,78,5,245
114,51,78,5,248
115,52,80,5,252
130,56,77,5,268
115,55,77,5,252
118,53,78,5,254
112,52,78,5,247
115,73,84,5,277
114,50,77,5,246
112,51,76,5,244
110,54,77,5,246
110,51,78,21,260
112,53,77,5,247
119,50,75,6,250
110,53,76,5,244
113,54,77,5,249
111,53,79,5,248
112,52,75,5,244
111,52,76,22,261
121,53,76,5,255
114,69,79,5,267
116,53,76,5,250
111,52,80,8,251
113,53,75,5,246
112,53,78,5,248
111,53,76,5,245
113,51,83,5,252
114,56,85,9,264
136,54,82,5,277
114,53,88,5,260
116,53,82,5,256
117,50,80,5,252
116,52,81,5,254
119,50,81,5,255
113,50,69,5,237
111,59,72,5,247
112,51,71,5,239
111,56,76,6,249
113,51,78,5,247
111,53,76,5,245
111,53,78,14,256
117,51,78,5,251
115,48,75,5,243
114,54,77,5,250
113,52,78,8,251
113,49,78,5,245
112,62,78,5,257
110,52,77,5,244
115,54,77,5,251
111,50,76,5,242
111,51,81,5,248
112,53,78,5,248
119,49,76,5,249
113,50,76,5,244
110,51,73,5,239
111,51,74,11,247
113,49,75,5,242
111,50,69,9,239
110,52,73,5,240
112,54,75,6,247
110,55,75,5,245
108,53,73,5,239
111,51,75,5,242
113,62,78,5,258
112,49,74,5,240
113,52,73,5,243
112,51,73,5,241
111,53,76,5,245
113,50,73,5,241
112,66,75,5,258
110,52,75,5,242
121,49,76,5,251
111,52,73,5,241
110,52,75,5,242
112,52,73,5,242
117,51,73,5,246
113,52,76,5,246
110,53,74,5,242
113,53,79,5,250
113,51,73,5,242
112,54,77,9,252
112,53,74,5,244
110,50,77,5,242
112,50,74,5,241
114,51,75,16,256
114,50,80,5,249
119,55,82,5,261
116,63,81,5,265
113,51,80,5,249
113,53,80,5,251
117,50,80,5,252
116,53,81,5,255
119,50,80,5,254
112,52,82,5,251
115,50,73,9,247
111,54,69,5,239
110,58,69,5,242
113,56,71,5,245
112,54,70,5,241
112,52,69,5,238
109,54,70,5,238
111,53,69,5,238
112,53,73,5,243
115,51,73,5,244
112,52,70,5,239
114,65,87,5,271
112,55,71,5,243
112,57,74,5,248
113,53,72,5,243
120,65,86,6,277
132,60,84,6,282
125,54,71,5,255
123,96,93,5,317
125,69,98,15,307
148,58,74,5,285
126,71,99,7,303
134,69,90,7,300
116,59,80,5,260
117,55,81,5,258
115,59,80,15,269
118,53,1727,5,1903
107,53,77,5,242
113,49,72,5,239
108,51,74,5,238
110,53,73,5,241
121,51,72,5,249
110,53,71,5,239
111,52,75,5,243
110,51,70,5,236
111,51,74,5,241
111,56,71,5,243
110,52,71,5,238
109,51,74,7,241
112,60,74,10,256
114,51,70,5,240
116,51,73,5,245
112,54,72,5,243
111,54,70,5,240
110,53,70,5,238
120,53,70,5,248
109,65,74,5,253
112,53,69,5,239
111,53,70,6,240
126,55,77,5,263
114,52,83,5,254
114,54,81,5,254
114,54,80,6,254
114,50,81,5,250
113,60,79,6,258
117,54,78,5,254
116,50,78,5,249
114,52,80,5,251
115,52,68,5,240
116,54,70,5,245
113,73,74,5,265
111,53,73,9,246
113,52,74,5,244
112,51,77,5,245
116,49,76,18,259
123,51,78,5,257
111,55,72,5,243
114,49,75,5,243
118,53,73,5,249
112,54,73,5,244
125,55,76,5,261
112,51,107,5,275
159,82,90,18,349
153,72,85,8,318
124,61,83,5,273
147,77,91,5,320
117,53,80,6,256
121,52,77,5,255
116,52,80,7,255
123,54,82,5,264
117,70,90,21,298
144,72,87,6,309
148,76,86,6,316
116,56,78,5,255
146,68,95,11,320
139,63,88,6,296
125,54,77,10,266
114,54,75,8,251
115,62,109,15,301
145,79,92,15,331
145,90,77,5,317
124,59,89,6,278
115,60,83,5,263
130,70,119,19,338
156,82,93,18,349
180,80,113,6,379
131,68,99,24,322
136,65,110,11,322
149,72,95,14,330
149,86,91,11,337
127,54,77,5,263
117,54,79,7,257
119,52,78,5,254
120,51,80,5,256
116,52,76,5,249
115,51,76,5,247
112,54,80,6,252
114,53,78,16,261
124,57,80,6,267
118,53,81,5,257
119,52,76,21,268
143,63,88,5,299
114,54,88,18,274
135,62,87,9,293
130,63,87,7,287
120,52,76,5,253
118,53,69,5,245
127,62,82,9,280
119,54,71,5,249
115,53,71,5,244
116,53,69,5,243
111,50,68,5,234
113,55,68,5,241
113,53,73,5,244
113,56,72,5,246
111,54,72,17,254
140,55,78,5,278
118,52,80,5,255
115,68,80,5,268
114,53,84,5,256
120,64,83,8,275
128,65,93,5,291
130,63,79,5,277
117,59,89,9,274
124,56,77,5,262
115,52,78,5,250
114,54,78,5,251
115,52,86,5,258
115,53,75,5,248
113,54,77,5,249
114,51,77,5,247
117,55,76,5,253
114,51,77,5,247
111,53,76,5,245
118,60,75,5,258
125,51,77,5,258
115,49,77,5,246
115,53,78,7,253
117,50,78,5,250
114,52,75,5,246
111,52,76,5,244
112,54,78,5,249
112,55,80,5,252
111,64,77,5,257
112,52,76,5,245
114,52,75,5,246
111,51,70,5,237
111,53,68,5,237
112,53,68,5,238
117,53,68,5,243
119,53,68,5,245
113,53,69,5,240
110,54,68,5,237
115,51,68,5,239
114,52,69,5,240
114,50,70,5,239
113,52,70,5,240
111,53,70,16,250
114,51,68,5,238
112,53,68,5,238
110,54,69,5,238
115,51,69,5,240
114,53,69,5,241
111,51,69,5,236
115,54,68,5,242
112,54,76,5,247
114,52,77,5,248
115,51,78,5,249
113,52,77,5,247
115,53,78,5,251
114,54,78,5,251
114,52,78,5,249
114,55,78,5,252
117,53,77,5,252
111,55,80,5,251
112,52,78,5,247
118,50,76,6,250
114,50,78,5,247
114,52,76,5,247
111,52,78,5,246
112,61,80,5,258
112,53,77,5,247
113,53,75,5,246
116,51,75,6,248
113,51,73,5,242
118,50,80,5,253
112,52,79,5,248
110,54,79,10,253
116,53,81,5,255
112,58,80,5,255
113,51,81,17,262
118,53,81,5,257
113,53,80,5,251
112,51,80,5,248
113,53,80,19,265
119,54,81,5,259
113,55,81,5,254
116,53,79,5,253
112,53,78,5,248
112,53,79,5,249
111,53,81,5,250
112,61,79,5,257
117,58,75,5,255
112,53,74,5,244
111,52,73,5,241
113,50,76,5,244
117,52,78,5,252
113,51,75,5,244
112,52,77,5,246
111,54,78,14,257
112,52,77,5,246
112,53,69,5,239
111,54,69,5,239
110,54,71,6,241
130,55,72,5,262
116,49,75,5,245
119,50,73,5,247
113,72,83,5,273
115,50,81,6,252
115,50,81,5,251
112,52,79,5,248
116,55,86,18,275
134,74,77,5,290
114,51,82,6,253
115,55,77,5,252
120,53,76,5,254
116,52,72,5,245
112,53,72,5,242
114,51,74,5,244
111,54,71,5,241
113,52,70,5,240
111,52,71,5,239
118,53,73,5,249
114,52,71,5,242
112,51,72,5,240
109,51,74,5,239
112,72,93,5,282
122,67,86,5,280
117,53,73,5,248
116,69,79,5,269
115,52,68,7,242
113,53,69,5,240
112,54,69,5,240
117,52,68,5,242
114,64,70,5,253
115,52,71,5,243
114,61,78,8,261
121,55,72,18,266
118,53,70,5,246
113,50,70,5,238
114,53,81,5,253
152,65,106,23,346
117,60,78,7,262
112,54,79,7,252
116,56,87,21,280
123,73,89,17,302
143,58,83,19,303
136,74,83,17,310
136,69,83,20,308
133,70,83,16,302
132,69,87,19,307
124,58,90,17,289
135,71,82,34,322
133,87,85,19,324
135,62,83,17,297
130,77,77,19,303
129,88,83,17,317
134,68,84,20,306
122,70,74,16,282
128,72,76,19,295
123,69,73,19,284
129,69,88,10,296
142,59,90,6,297
116,52,82,5,255
115,50,81,5,251
115,54,79,5,253
117,51,85,19,272
122,56,78,5,261
112,55,74,5,246
122,52,95,5,274
114,54,80,5,253
115,54,82,5,256
117,53,79,5,254
116,52,82,5,255
113,54,78,5,250
114,51,82,5,252
116,51,83,7,257
124,54,83,5,266
117,49,69,5,240
113,54,69,5,241
116,54,72,5,247
116,52,74,7,249
118,54,75,5,252
111,50,73,5,239
112,59,74,5,250
111,54,73,5,243
113,52,72,5,242
111,52,71,5,239
124,52,72,5,253
113,51,71,5,240
110,51,72,5,238
112,54,72,5,243
117,53,72,5,247
113,52,73,7,245
114,51,74,5,244
114,53,75,5,247
111,51,73,5,240
113,50,71,5,239
111,53,73,5,242
111,52,80,6,249
116,50,75,5,246
115,53,73,5,246
114,51,74,5,244
110,52,78,5,245
111,52,80,5,248
116,53,80,5,254
115,51,81,5,252
124,54,81,5,264
113,53,82,13,261
123,56,80,5,264
111,55,81,9,256
114,51,80,5,250
113,54,80,5,252
115,48,80,5,248
113,65,79,5,262
114,51,68,5,238
115,55,68,5,243
112,52,70,5,239
115,56,69,5,245
113,51,69,5,238
113,51,69,5,238
114,51,69,5,239
127,51,76,5,259
113,51,75,5,244
113,58,80,5,256
113,50,76,5,244
115,51,74,5,245
115,55,73,11,254
114,53,75,5,247
114,65,76,5,260
112,53,75,5,245
113,52,74,5,244
110,54,81,5,250
114,55,83,5,257
112,52,79,5,248
113,51,81,5,250
116,53,84,6,259
117,50,80,5,252
114,51,81,5,251
122,51,80,5,258
115,51,82,5,253
117,50,81,5,253
115,50,81,5,251
114,52,80,37,283
124,55,71,5,255
112,50,71,5,238
113,53,70,5,241
113,53,68,5,239
117,51,70,5,243
115,50,70,5,240
113,56,72,5,246
112,53,76,5,246
113,55,69,5,242
112,53,68,5,238
110,55,70,5,240
113,54,71,5,243
113,55,70,5,243
113,50,70,5,238
114,51,69,5,239
112,60,72,5,249
114,51,70,5,240
114,50,69,5,238
116,51,74,5,246
113,55,74,5,247
109,54,76,6,245
113,50,70,5,238
112,52,73,5,242
120,52,72,5,249
115,51,73,5,244
114,51,73,5,243
109,52,73,5,239
114,50,72,5,241
112,53,73,5,243
115,51,83,7,256
114,54,99,5,272
113,54,82,5,254
116,51,82,5,254
114,51,82,5,252
114,52,80,5,251
116,54,81,5,256
115,52,83,5,255
113,51,72,17,253
114,55,72,5,246
114,51,82,5,252
115,52,69,5,241
111,55,71,5,242
114,52,69,5,240
113,52,70,5,240
112,53,70,5,240
112,59,73,5,249
114,50,73,5,242
115,51,71,5,242
114,53,68,5,240
114,56,69,5,244
115,51,82,5,253
116,53,81,5,255
114,54,83,5,256
120,51,80,5,256
114,52,83,5,254
113,51,82,5,251
115,52,76,5,248
113,51,68,5,237
117,51,79,5,252
113,50,77,5,245
115,70,78,5,268
113,50,78,5,246
117,52,76,5,250
113,52,81,5,251
115,52,78,5,250
111,52,75,5,243
111,51,83,5,250
114,54,85,5,258
115,52,78,5,250
116,54,77,5,252
112,52,77,5,246
111,51,78,5,245
113,50,78,5,246
130,65,76,5,276
113,53,79,5,250
121,50,79,5,255
113,53,79,5,250
117,50,79,5,251
113,53,78,5,249
113,53,76,5,247
114,52,76,5,247
111,53,79,5,248
114,59,78,5,256
112,54,79,5,250
115,52,77,5,249
114,51,78,5,248
115,53,76,5,249
110,52,78,5,245
113,52,78,5,248
112,51,76,6,245
117,52,78,5,252
114,50,79,5,248
112,52,77,5,246
113,53,78,7,251
114,53,76,5,248
112,54,78,5,249
114,49,75,5,243
116,57,81,5,259
112,53,76,5,246
111,53,77,5,246
112,51,76,5,244
113,54,78,5,250
113,50,71,5,239
112,53,73,5,243
111,52,72,14,249
117,53,72,5,247
109,51,82,5,247
113,51,81,5,250
117,48,83,5,253
115,50,69,5,239
112,50,69,5,236
112,54,69,5,240
114,58,73,21,266
117,54,69,5,245
113,54,70,5,242
112,52,69,5,238
119,52,69,5,245
113,50,69,5,237
114,53,75,18,260
116,52,78,5,251
121,54,78,5,258
113,51,78,5,247
112,52,80,5,249
116,54,78,7,255
115,51,78,5,249
118,49,77,6,250
116,51,77,5,249
115,57,76,5,253
113,54,77,5,249
115,51,77,5,248
115,51,75,5,246
113,54,81,5,253
111,54,78,5,248
113,51,77,5,246
