agent-action,agent-action-update,map-update,reward,sum
1130,508,865,47,2550
1167,552,740,44,2503
1180,548,749,46,2523
1176,547,766,73,2562
1199,556,799,52,2606
1235,566,819,59,2679
1199,582,1155,53,2989
1197,579,802,78,2656
1184,566,794,66,2610
1178,579,793,61,2611
1202,573,808,57,2640
1233,575,799,67,2674
1433,648,832,59,2972
1213,564,832,57,2666
1197,573,876,59,2705
1177,581,838,86,2682
1208,578,861,64,2711
1182,590,837,64,2673
1202,570,803,63,2638
1174,574,834,62,2644
1202,571,1636,67,3476
1203,585,845,62,2695
1216,596,834,69,2715
1219,572,866,61,2718
1206,581,853,66,2706
1220,570,864,66,2720
1197,588,848,62,2695
1232,586,869,66,2753
1203,584,815,64,2666
1193,576,822,68,2659
1197,578,831,67,2673
1222,583,837,68,2710
1206,584,854,69,2713
1231,586,820,62,2699
1203,596,819,70,2688
1195,594,811,61,2661
1216,583,818,62,2679
1263,613,824,71,2771
1198,594,827,62,2681
1209,583,830,73,2695
1228,580,815,62,2685
1182,588,836,61,2667
1218,596,824,69,2707
1203,588,814,62,2667
1190,583,842,63,2678
1184,580,822,61,2647
1234,583,830,68,2715
1218,586,2549,74,4427
1207,588,839,65,2699
1194,593,851,65,2703
1220,578,844,64,2706
1226,588,810,68,2692
1211,580,813,66,2670
1202,580,827,64,2673
1210,593,833,79,2715
1206,596,838,63,2703
1211,593,809,71,2684
1248,591,806,65,2710
1207,584,834,82,2707
1210,609,793,63,2675
1221,586,801,68,2676
1205,585,797,66,2653
1222,599,805,91,2717
1199,585,820,65,2669
1197,568,824,66,2655
1201,575,826,64,2666
1223,571,822,64,2680
1214,597,811,64,2686
1189,591,805,64,2649
1213,572,817,66,2668
1210,589,812,61,2672
1237,586,820,65,2708
1198,607,854,68,2727
1222,591,856,62,2731
1183,588,836,63,2670
1216,581,853,69,2719
1212,586,835,78,2711
1233,584,868,71,2756
1214,596,835,62,2707
1194,593,848,64,2699
1216,586,837,67,2706
1210,588,845,69,2712
1217,585,867,69,2738
1197,580,854,67,2698
1207,591,840,63,2701
1212,588,810,68,2678
1192,586,808,70,2656
1212,576,828,62,2678
1183,580,823,63,2649
1202,585,821,63,2671
1205,588,871,68,2732
1213,594,848,64,2719
1191,584,871,83,2729
1227,573,844,68,2712
1222,582,870,67,2741
1230,592,839,61,2722
1215,583,867,62,2727
1205,590,841,72,2708
1199,601,833,75,2708
1199,597,829,65,2690
1197,589,818,66,2670
1184,595,833,62,2674
1195,596,4585,61,6437
1186,608,862,101,2757
1200,598,813,67,2678
1203,583,813,65,2664
1192,600,816,74,2682
1214,596,814,62,2686
1197,590,810,64,2661
1202,594,814,66,2676
1211,594,815,65,2685
1201,589,828,76,2694
1220,594,824,70,2708
1214,581,834,72,2701
1210,589,834,65,2698
1225,595,799,64,2683
1206,589,839,66,2700
1214,594,833,82,2723
1236,578,830,65,2709
1209,600,830,70,2709
1220,587,809,71,2687
1203,582,832,62,2679
1206,576,815,62,2659
1193,579,820,61,2653
1200,582,818,63,2663
1209,581,806,68,2664
1200,594,801,61,2656
1194,584,799,65,2642
1197,585,805,65,2652
1202,588,804,66,2660
1217,588,806,62,2673
1193,584,809,66,2652
1216,591,804,65,2676
1194,572,822,63,2651
1205,589,839,65,2698
1223,591,846,66,2726
1211,590,822,61,2684
1224,603,834,102,2763
1238,590,839,64,2731
1225,599,801,72,2697
1225,586,801,65,2677
1194,580,812,63,2649
1205,592,818,64,2679
1200,589,847,67,2703
1229,628,814,77,2748
1225,603,832,64,2724
1205,584,803,64,2656
1197,594,833,62,2686
1221,581,844,64,2710
1229,580,848,84,2741
1197,586,829,63,2675
1214,583,831,64,2692
1208,596,846,64,2714
1214,589,863,67,2733
1199,583,836,83,2701
1193,587,800,63,2643
1188,584,803,71,2646
1202,577,812,83,2674
1210,593,839,63,2705
1230,595,844,66,2735
1208,584,844,66,2702
1216,586,889,68,2759
1212,597,851,69,2729
1239,585,835,74,2733
1222,599,846,61,2728
1221,594,854,68,2737
1218,585,839,63,2705
1235,592,842,72,2741
1220,597,866,83,2766
1212,579,827,62,2680
1199,585,820,65,2669
