agent-action,agent-action-update,map-update,reward,sum
210,125,70,46,451
212,126,68,44,450
207,127,71,43,448
206,120,68,46,440
207,129,67,44,447
212,122,72,44,450
205,125,68,44,442
205,125,67,43,440
206,126,69,46,447
205,122,67,43,437
207,129,70,44,450
209,121,68,47,445
202,127,67,44,440
209,123,73,44,449
203,124,70,44,441
202,126,71,44,443
207,128,72,44,451
210,124,71,44,449
199,127,68,44,438
209,123,74,44,450
200,124,72,43,439
208,125,69,44,446
206,128,72,47,453
199,125,70,45,439
204,122,73,47,446
209,122,70,47,448
200,125,70,43,438
209,118,70,45,442
204,120,72,48,444
202,125,68,44,439
206,119,73,46,444
203,125,68,45,441
210,126,74,44,454
212,122,70,48,452
209,123,70,44,446
206,130,70,48,454
209,124,73,47,453
203,126,72,44,445
205,124,73,44,446
209,124,68,52,453
206,126,72,44,448
206,124,70,44,444
205,121,75,48,449
201,125,68,45,439
206,120,74,46,446
205,123,69,43,440
201,126,71,46,444
207,121,71,44,443
208,123,73,49,453
204,129,69,44,446
206,120,74,49,449
200,123,68,44,435
205,123,72,49,449
210,126,70,49,455
207,128,71,48,454
205,125,71,48,449
205,119,68,53,445
208,124,71,47,450
207,120,74,48,449
212,119,69,47,447
211,127,72,48,458
207,124,72,45,448
211,122,73,51,457
209,123,68,44,444
210,122,74,48,454
210,124,71,48,453
204,123,71,47,445
209,122,72,44,447
209,119,71,51,450
204,128,69,44,445
211,121,73,47,452
212,121,69,45,447
205,124,71,47,447
210,126,71,44,451
208,120,72,47,447
201,127,69,43,440
206,119,75,46,446
209,123,69,43,444
204,126,72,47,449
211,121,73,46,451
203,121,71,46,441
207,129,69,45,450
207,123,75,52,457
211,121,70,44,446
206,127,71,47,451
209,128,71,46,454
203,122,73,47,445
206,123,70,44,443
210,121,70,52,453
206,129,69,45,449
208,122,73,46,449
209,122,69,48,448
208,124,71,47,450
207,125,70,44,446
210,125,70,49,454
204,125,70,44,443
209,122,74,48,453
208,126,70,49,453
208,124,70,51,453
207,120,70,43,440
207,121,72,46,446
203,128,69,43,443
209,120,74,45,448
204,122,72,43,441
203,123,74,50,450
224,136,70,44,474
209,124,74,49,456
203,126,70,44,443
207,119,76,47,449
204,123,71,44,442
205,125,73,46,449
