agent-action,agent-action-update,map-update,reward,sum
100,48,71,3,222
95,43,79,4,221
93,45,69,4,211
97,55,73,4,229
92,45,68,4,209
93,45,70,4,212
91,45,71,5,212
93,49,70,5,217
94,44,69,5,212
99,49,100,5,253
95,44,69,5,213
92,47,69,5,213
92,43,68,5,208
93,44,68,5,210
109,58,70,5,242
95,58,74,5,232
96,51,73,5,225
91,51,71,5,218
98,47,72,6,223
97,62,77,5,241
92,44,71,5,212
94,48,73,5,220
95,48,71,5,219
90,42,70,5,207
91,44,71,5,211
