agent-action,agent-action-update,map-update,reward,sum
1230,1645,1006,363,4244
1262,1704,899,406,4271
1329,1740,906,438,4413
1387,1823,933,468,4611
1404,1877,957,483,4721
1418,1918,969,505,4810
1438,1943,1309,539,5229
1459,1988,985,551,4983
1528,1986,991,571,5076
1506,1971,987,549,5013
1526,2001,972,557,5056
1442,1934,941,547,4864
1432,1991,986,588,4997
1534,2036,999,596,5165
1530,2085,1020,616,5251
1526,2064,1044,630,5264
1567,2087,1022,638,5314
1570,2073,996,595,5234
1486,2050,986,604,5126
1593,2114,962,582,5251
1481,1989,1579,591,5640
1481,1986,955,587,5009
1467,1997,966,587,5017
1469,2037,1002,642,5150
1727,2164,978,602,5471
