agent-action,agent-action-update,map-update,agent-reward,step
163.608,224.345,65.855,62.085,750.377
120.007,212.052,66.43,60.745,692.702
180.401,151.662,66.315,61.245,692.712
175.123,152.184,64.669,60.794,686.578
167.075,153.121,65.502,61.01,679.393
199.322,239.85,72.392,70.413,845.053
137.446,237.195,72.225,69.576,779.446
135.312,235.468,73.733,69.919,778.217
192.665,175.563,71.79,69.926,773.641
190.039,176.031,72.134,69.553,771.289
182.231,179.519,73.107,69.582,774.764
178.071,234.384,72.474,69.915,816.807
198.171,173.302,72.772,70.218,774.921
193.961,172.527,73.106,69.603,770.528
191.814,174.15,72.84,70.52,772.406
184.943,183.5,81.525,78.569,804.767
211.42,240.184,71.231,70.476,862.231
135.609,235.111,71.719,71.743,776.352
136.628,270.154,80.398,77.729,838.377
219.417,175.498,73.975,69.798,802.614
187.686,173.82,71.501,70.507,767.249
186.347,174.78,72.894,69.379,767.641
175.048,233.726,71.999,69.924,812.651
194.213,174.156,71.445,71.313,769.489
190.016,172.861,71.334,69.635,763.895
184.328,175.317,71.107,69.349,760.065
177.056,234.445,70.659,69.377,812.132
134.932,236.593,74.387,67.682,773.695
135.66,235.566,72.753,68.274,772.743
194.835,173.715,71.379,67.98,766.074
191.435,171.931,70.727,68.152,761.777
186.329,174.425,70.459,68.445,758.541
183.73,170.935,70.934,68.886,754.04
176.799,235.659,71.625,68.469,812.849
135.454,233.556,71.551,69.195,768.441
135.478,232.251,72.079,68.933,767.469
193.57,170.599,71.797,69.307,762.665
189.325,171.573,71.18,69.54,762.996
182.444,172.599,71.787,68.557,753.609
174.648,231.812,70.477,68.701,806.322
134.237,232.085,73.032,68.735,766.469
191.741,173.342,72.177,69.232,765.022
188.738,174.993,72.575,68.669,763.596
182.9,173.458,71.567,69.213,761.64
177.92,237.353,72.24,70.27,818.003
135.249,274.051,79.164,69.99,824.301
138.829,233.361,78.039,78.003,797.849
233.342,172.575,70.091,69.302,807.048
188.421,171.963,71.452,68.973,759.558
187.725,175.77,71.606,70.419,766.842
202.964,177.503,73.828,70.379,789.313
176.045,233.269,71.513,69.082,809.32
134.47,233.494,72.902,71.179,770.863
