agent-action,agent-action-update,map-update,agent-reward,step
193.763,268.033,90.717,88.033,939.061
229.25,198.818,88.201,85.323,891.559
207.958,197.822,89.874,84.957,872.76
204.655,211.651,87.881,85.436,880.856
199.506,196.697,86.614,84.982,855.292
192.71,259.23,93.121,87.548,925.454
151.549,258.768,87.654,85.093,872.133
212.887,198.282,88.437,85.056,869.811
210.757,199.858,88.705,85.525,871.261
206.718,197.692,87.779,85.115,864.385
198.473,207.299,88.653,86.552,868.294
201.134,258.722,85.978,85.669,915.851
152.547,258.536,87.729,85.081,870.796
213.55,196.807,86.631,85.2,867.074
204.96,197.616,87.245,85.129,859.934
203.083,197.565,87.863,85.25,863.901
191.926,270.14,87.954,85.101,920.106
150.695,261.059,86.398,85.886,870.502
215.559,217.098,97.017,94.233,926.94
207.866,207.325,91.902,97.866,901.651
207.942,197.682,88.249,85.821,873.102
199.464,258.774,86.642,85.494,916.155
164.615,259.086,87.297,85.772,886.896
152.041,258.894,86.797,85.656,869.069
212.665,197.888,86.61,85.312,867.447
210.308,196.972,88.632,85.21,866.858
203.226,197.539,86.941,85.262,859.878
201.808,204.715,90.824,83.935,867.871
197.944,257.228,86.876,86.277,914.259
151.277,255.53,86.169,83.864,861.351
150.567,256.947,87.361,85.557,866.674
206.376,196.81,87.172,84.077,861.803
201.407,195.723,86.606,84.242,854.391
195.326,199.336,89.951,85.945,857.391
189.497,258.264,85.336,84.491,902.772
208.195,195.563,86.722,86.544,860.146
206.107,196.453,85.949,84.931,858.781
200.882,196.269,86.284,85.766,852.864
200.076,261.081,85.917,84.555,919.008
151.477,265.304,86.138,84.7,871.132
151.911,259.945,86.597,84.882,867.938
210.415,195.817,85.377,85.489,857.464
204.612,195.187,87.744,85.156,856.383
203.504,196.558,87.48,84.846,854.577
198.11,196.747,87.988,86.099,854.048
196.183,257.316,87.126,84.553,909.184
151.191,258.659,93.888,89.164,882.313
225.964,197.778,86.311,85.02,879.562
209.776,196.282,86.975,85.074,859.233
204.113,198.916,86.498,85.64,860.995
198.725,196.088,85.625,84.765,843.279
194.477,260.645,85.674,87.713,906.859
150.491,258.249,87.132,84.922,857.873
209.238,196.167,86.216,86.4,857.044
205.329,198.043,86.287,84.97,860.846
200.619,197.54,87.3,84.834,856.265
191.694,261.132,89.87,85.311,914.439
151.71,262.763,86.335,85.053,873.306
151.023,260.718,88.045,86.338,871.691
206.759,196.753,86.577,85.366,860.19
202.028,197.011,88.16,85.685,857.869
201.575,197.143,86.195,85.122,854.93
193.361,259.199,86.606,85.456,910.373
150.342,261.948,90.794,84.457,874.588
208.937,195.572,85.617,84.582,850.267
206.425,195.68,89.488,84.821,853.96
205.571,196.593,86.964,84.085,849.823
198.174,196.6,87.431,84.242,844.278
202.769,256.99,86.252,84.794,910.777
151.654,259.024,95.22,84.865,871.406
209.247,197.769,85.75,84.577,855.199
204.565,197.156,86.865,84.426,848.588
198.127,196.019,85.909,84.644,844.173
193.491,258.528,84.793,85.263,897.543
153.684,265.322,87.374,84.961,871.683
151.07,257.252,86.727,85.624,859.849
210.489,197.208,88.175,84.872,854.548
206.845,206.647,95.633,87.853,875.296
205.647,196.788,88.66,85.0,854.901
199.208,198.393,87.898,86.745,850.841
192.271,257.843,87.123,84.753,899.035
150.632,258.795,86.918,87.035,860.769
150.013,257.382,87.447,84.979,857.466
206.346,196.161,86.572,91.868,862.53
262.434,201.022,87.072,87.015,925.872
207.174,210.973,96.926,94.567,899.084
219.577,274.327,87.266,87.278,973.34
217.057,206.632,95.133,91.393,891.285
207.588,206.654,121.671,93.526,938.582
202.909,199.873,87.913,86.644,858.015
193.428,260.122,91.38,94.977,931.878
170.883,294.404,95.692,92.818,950.819
159.364,278.327,88.404,93.515,905.493
209.887,196.247,86.671,85.468,855.679
203.548,197.07,86.53,85.529,850.894
198.188,198.013,86.908,85.165,848.456
190.765,257.233,86.473,85.381,898.391
212.088,201.02,87.808,87.092,862.369
210.84,197.853,94.942,84.973,872.794
207.536,198.19,88.294,88.53,871.623
200.679,195.686,85.828,84.27,852.792
193.241,256.344,85.796,84.023,905.498
154.221,257.661,86.448,84.352,870.148
150.891,258.106,86.306,84.354,866.811
205.86,197.562,88.599,84.79,864.752
201.408,196.844,86.864,84.965,856.493
194.712,198.121,90.509,85.045,853.572
192.877,255.491,84.678,85.083,902.747
212.469,197.989,86.655,84.659,863.336
206.723,222.881,88.062,95.761,929.672
217.991,197.712,87.177,86.56,883.287
218.329,270.113,91.074,88.454,964.172
157.652,274.706,93.803,88.6,914.273
159.514,274.224,92.931,95.028,925.981
240.428,232.456,106.715,93.696,1009.582
239.027,213.628,91.382,86.764,977.272
202.879,201.738,91.907,88.378,883.683
192.215,261.537,88.112,87.829,920.508
225.829,207.931,88.529,108.151,918.826
221.941,203.627,92.79,86.564,895.218
215.579,206.238,92.05,88.892,902.702
206.789,208.093,90.855,91.667,895.595
203.969,197.741,87.477,90.163,872.771
202.939,272.11,92.317,89.004,957.84
227.974,210.118,95.355,110.35,962.873
257.653,226.856,90.385,90.163,991.415
209.36,205.436,89.881,86.684,891.319
251.882,359.034,92.881,92.445,1138.645
155.715,264.3,87.914,86.383,888.219
215.104,202.742,87.759,86.084,879.91
